"id","earTag","type","weight","healthStatus","birthDate","entryDate","origin","vaccinated","location"
"345","20045","goat","232.3","healthy","2022-02-10","2024-01-10","outside","1","barn2"
"346","20046","cow","63.6","healthy","2019-09-15","2023-12-19","outside","1","barn1"
"347","20047","goat","311.3","healthy","2018-05-05","2023-08-02","outside","1","barn1"
"348","20048","goat","108.4","healthy","2024-12-06","2024-05-19","born_in_farm","1","barn1"
"349","20049","cow","330.5","healthy","2024-05-04","2025-01-09","outside","0","barn1"
"350","20050","sheep","363.4","healthy","2023-05-12","2023-09-28","outside","1","barn1"
"351","20051","sheep","56.3","healthy","2020-01-17","2024-06-29","outside","0","barn1"
"352","20052","cow","394.5","healthy","2022-04-15","2024-12-21","outside","0","barn1"
"353","20053","goat","342.6","healthy","2021-12-27","2026-01-18","outside","1","chicken_coop2"
"354","20054","goat","409.7","healthy","2019-04-25","2024-10-23","outside","1","chicken_coop2"
"355","20055","cow","117.5","healthy","2018-09-13","2025-10-20","outside","1","chicken_coop1"
"356","20056","goat","327.7","healthy","2023-06-19","2025-12-13","outside","1","barn3"
"357","20057","goat","79.2","healthy","2022-04-24","2024-01-08","outside","1","barn2"
"358","20058","cow","161","healthy","2020-08-04","2024-12-30","born_in_farm","0","chicken_coop2"
"359","20059","sheep","321.3","healthy","2023-08-21","2023-06-06","born_in_farm","1","chicken_coop1"
"360","20060","goat","241.8","healthy","2021-12-12","2023-11-22","outside","0","barn2"
"361","20061","cow","434.9","healthy","2022-03-02","2025-07-23","outside","0","barn3"
"362","20062","cow","372.9","healthy","2023-06-09","2024-02-03","outside","1","chicken_coop1"
"363","20063","sheep","420.5","healthy","2021-12-19","2024-11-10","outside","1","chicken_coop2"
"364","20064","cow","319","healthy","2020-02-23","2024-08-11","outside","1","chicken_coop2"
"365","20065","sheep","81","healthy","2019-10-01","2024-05-29","outside","0","barn1"
"366","20066","sheep","56.7","healthy","2020-07-14","2025-06-25","born_in_farm","0","barn3"
"367","20067","goat","353.6","healthy","2022-09-24","2025-01-06","outside","1","chicken_coop1"
"368","20068","goat","76.1","healthy","2022-08-15","2024-07-30","outside","0","barn1"
"369","20069","goat","207.3","healthy","2022-04-06","2023-10-25","outside","1","barn1"
"370","20070","goat","177.2","healthy","2024-07-24","2025-01-21","outside","1","barn1"
"371","20071","cow","113.6","healthy","2020-09-27","2024-04-27","born_in_farm","1","chicken_coop1"
"372","20072","goat","89.6","healthy","2018-08-18","2025-01-30","born_in_farm","0","chicken_coop2"
"373","20073","cow","215.7","healthy","2025-01-21","2024-02-07","outside","0","barn1"
"374","20074","sheep","423.6","healthy","2021-01-07","2025-10-08","outside","1","barn2"
"375","20075","cow","177.4","healthy","2024-05-20","2024-09-15","born_in_farm","1","barn3"
"376","20076","goat","164.6","healthy","2022-11-25","2024-03-20","outside","1","barn2"
"377","20077","sheep","369.9","healthy","2021-02-12","2024-11-11","outside","1","barn3"
"378","20078","sheep","228.3","healthy","2024-09-08","2023-08-17","born_in_farm","0","chicken_coop2"
"379","20079","cow","117.7","healthy","2023-04-08","2023-12-25","born_in_farm","0","chicken_coop2"
"380","20080","sheep","223","healthy","2022-02-09","2023-10-30","outside","1","barn1"
"381","20081","cow","81.6","healthy","2019-05-19","2023-09-06","outside","0","chicken_coop2"
"382","20082","goat","117.1","healthy","2024-11-05","2024-05-24","born_in_farm","1","chicken_coop2"
"383","20083","goat","380.8","healthy","2020-06-08","2023-09-22","born_in_farm","0","barn3"
"384","20084","cow","154.4","healthy","2018-07-20","2023-07-09","outside","1","barn3"
"385","20085","cow","154.3","healthy","2021-12-23","2024-11-22","outside","0","chicken_coop1"
"386","20086","goat","86.8","healthy","2021-11-12","2026-01-08","outside","1","barn3"
"387","20087","sheep","388","healthy","2019-09-17","2025-02-28","born_in_farm","1","chicken_coop1"
"388","20088","sheep","245.8","healthy","2025-01-27","2024-10-02","outside","0","barn3"
"389","20089","goat","181.8","healthy","2022-12-03","2024-08-12","outside","1","chicken_coop1"
"390","20090","goat","292.1","healthy","2022-02-27","2025-05-07","born_in_farm","1","chicken_coop1"
"391","20091","sheep","285.7","healthy","2019-01-16","2024-06-18","born_in_farm","0","barn3"
"392","20092","cow","395.3","healthy","2023-09-08","2025-01-18","born_in_farm","1","chicken_coop2"
"393","20093","goat","62.2","healthy","2025-02-06","2023-10-12","born_in_farm","1","chicken_coop1"
"394","20094","sheep","403.9","healthy","2019-08-15","2025-04-21","born_in_farm","1","chicken_coop2"
"395","20095","sheep","97","healthy","2020-05-14","2025-12-22","born_in_farm","1","chicken_coop1"
"396","20096","cow","81.3","healthy","2020-10-31","2023-11-05","born_in_farm","0","barn2"
"397","20097","goat","154","healthy","2021-12-09","2024-10-24","born_in_farm","1","barn2"
"398","20098","cow","197.7","healthy","2023-02-09","2025-04-23","outside","0","barn2"
"399","20099","goat","262.7","healthy","2024-09-28","2024-06-08","outside","1","barn2"
"400","20100","cow","211.8","healthy","2018-10-03","2025-02-09","born_in_farm","1","barn2"
"401","20101","sheep","160.1","healthy","2023-07-05","2025-05-04","outside","1","barn1"
"402","20102","cow","363.2","healthy","2018-11-28","2025-10-14","outside","0","barn2"
"403","20103","goat","372.5","healthy","2018-06-25","2025-02-12","outside","1","barn2"
"404","20104","sheep","121.3","healthy","2024-02-15","2025-10-09","born_in_farm","1","chicken_coop2"
"405","20105","goat","364.9","healthy","2019-10-06","2024-10-14","born_in_farm","0","barn1"
"406","20106","sheep","236.3","healthy","2022-12-16","2025-10-20","outside","1","chicken_coop1"
"407","20107","goat","285.5","healthy","2019-07-29","2025-07-08","outside","1","chicken_coop2"
"408","20108","sheep","142.3","healthy","2018-07-09","2025-12-12","born_in_farm","0","chicken_coop2"
"409","20109","sheep","226.5","healthy","2018-05-19","2024-08-29","outside","0","barn2"
"410","20110","goat","62.3","healthy","2022-06-10","2023-12-07","outside","1","chicken_coop1"
"411","20111","goat","123.8","healthy","2021-09-21","2023-10-04","outside","1","chicken_coop1"
"412","20112","goat","281","healthy","2020-05-17","2024-04-18","born_in_farm","1","barn1"
"413","20113","sheep","383.3","healthy","2018-08-29","2025-09-12","outside","1","chicken_coop2"
"414","20114","sheep","103.6","healthy","2025-02-14","2024-09-01","outside","1","chicken_coop2"
"415","20115","sheep","123.7","healthy","2019-10-20","2025-05-21","born_in_farm","1","chicken_coop1"
"416","20116","sheep","93.8","healthy","2022-12-28","2025-09-05","outside","0","barn2"
"417","20117","goat","236.1","healthy","2022-11-23","2025-09-01","outside","1","chicken_coop1"
"418","20118","cow","315.3","healthy","2019-05-15","2025-09-20","born_in_farm","1","barn1"
"419","20119","goat","429.3","healthy","2021-12-11","2024-12-31","outside","0","chicken_coop2"
"420","20120","goat","388.3","healthy","2023-01-06","2023-07-26","outside","0","chicken_coop2"
"421","20121","sheep","369.3","healthy","2021-06-23","2025-07-28","born_in_farm","1","barn3"
"422","20122","goat","428.5","healthy","2019-06-18","2025-06-29","outside","1","chicken_coop1"
"423","20123","sheep","141","healthy","2020-02-11","2023-08-19","born_in_farm","0","chicken_coop1"
"424","20124","sheep","189","healthy","2018-11-02","2024-10-19","outside","1","chicken_coop1"
"425","20125","goat","302.1","healthy","2018-06-25","2023-09-04","outside","0","barn2"
"426","20126","cow","348","healthy","2022-12-12","2025-05-02","outside","1","chicken_coop2"
"427","20127","cow","307.7","healthy","2021-01-08","2026-02-18","born_in_farm","0","barn3"
"428","20128","goat","365.3","healthy","2018-07-16","2025-02-02","born_in_farm","1","chicken_coop2"
"429","20129","sheep","165.8","healthy","2022-04-24","2025-10-20","born_in_farm","1","barn3"
"430","20130","goat","168.4","healthy","2020-06-05","2024-10-27","born_in_farm","0","barn2"
"431","20131","goat","301.9","healthy","2022-02-16","2025-06-28","outside","1","barn3"
"432","20132","cow","199.1","healthy","2019-02-01","2025-07-04","outside","1","chicken_coop1"
"433","20133","goat","231.2","healthy","2020-07-31","2023-09-06","born_in_farm","1","barn3"
"434","20134","goat","377.5","healthy","2020-03-07","2025-11-20","born_in_farm","0","barn1"
"435","20135","sheep","376.5","healthy","2022-01-06","2024-01-22","born_in_farm","1","barn1"
"436","20136","cow","109.6","healthy","2021-11-28","2023-11-04","outside","1","chicken_coop1"
"437","20137","cow","133.2","healthy","2022-08-28","2025-10-26","outside","0","barn2"
"438","20138","goat","391.3","healthy","2021-05-12","2025-10-17","outside","1","chicken_coop1"
"439","20139","goat","96.9","healthy","2023-10-19","2024-08-14","born_in_farm","0","chicken_coop2"
"440","20140","goat","278.5","healthy","2018-06-07","2025-10-31","outside","1","barn1"
"441","20141","cow","84.4","healthy","2022-12-08","2025-05-18","born_in_farm","1","barn2"
"442","20142","cow","287.8","healthy","2023-01-27","2024-05-09","born_in_farm","1","barn1"
"443","20143","goat","312.4","healthy","2022-04-20","2026-01-19","outside","1","chicken_coop1"
"444","20144","sheep","293.9","healthy","2018-06-13","2023-06-11","outside","0","barn1"
"445","20145","sheep","282.6","healthy","2023-08-11","2025-04-26","outside","0","chicken_coop2"
"446","20146","sheep","402","healthy","2024-12-18","2025-01-02","outside","1","chicken_coop1"
"447","20147","cow","220.2","healthy","2023-01-08","2025-08-06","born_in_farm","1","barn3"
"448","20148","cow","308.5","healthy","2020-07-11","2025-02-28","outside","1","barn3"
"449","20149","sheep","437","healthy","2022-11-15","2024-04-12","born_in_farm","1","chicken_coop1"
"450","20150","goat","414.2","healthy","2024-03-29","2023-10-22","outside","1","barn2"
"451","20151","sheep","187.6","healthy","2022-10-26","2024-07-10","outside","1","chicken_coop2"
"452","20152","cow","384.4","healthy","2021-06-21","2025-11-13","outside","0","barn1"
"453","20153","cow","327.2","healthy","2019-01-01","2025-03-25","outside","1","barn3"
"454","20154","sheep","132.1","healthy","2020-08-28","2024-07-14","outside","0","barn3"
"455","20155","cow","420.2","healthy","2019-03-19","2024-10-29","outside","1","barn3"
"456","20156","sheep","382.3","healthy","2023-01-23","2023-07-14","outside","1","barn3"
"457","20157","cow","181.9","healthy","2023-01-22","2024-11-20","born_in_farm","1","barn3"
"458","20158","goat","56.8","healthy","2021-10-20","2025-04-14","born_in_farm","1","barn3"
"459","20159","cow","220","healthy","2021-09-20","2025-09-23","born_in_farm","1","barn2"
"460","20160","sheep","87.8","healthy","2023-08-19","2024-02-06","born_in_farm","0","barn2"
"461","20161","cow","267","healthy","2018-11-28","2023-10-23","outside","0","chicken_coop2"
"462","20162","goat","116.4","healthy","2024-04-03","2025-12-07","outside","1","chicken_coop1"
"463","20163","cow","147.8","healthy","2021-06-25","2023-10-10","outside","0","chicken_coop2"
"464","20164","sheep","197.9","healthy","2024-11-13","2026-02-05","outside","1","chicken_coop2"
"465","20165","sheep","113.3","healthy","2020-04-02","2026-01-29","outside","1","barn1"
"466","20166","goat","135.4","healthy","2021-05-05","2025-12-22","outside","0","barn1"
"467","20167","goat","409.8","healthy","2018-11-11","2023-11-30","born_in_farm","0","chicken_coop2"
"468","20168","sheep","213.8","healthy","2021-12-26","2026-02-18","outside","0","chicken_coop2"
"469","20169","goat","418.5","healthy","2018-05-22","2025-11-18","outside","1","chicken_coop2"
"470","20170","goat","192.9","healthy","2022-08-05","2024-03-08","born_in_farm","0","barn3"
"471","20171","sheep","327.2","healthy","2019-07-30","2023-08-23","born_in_farm","1","barn1"
"472","20172","sheep","439.4","healthy","2024-07-21","2024-12-12","outside","1","chicken_coop1"
"473","20173","goat","251.9","healthy","2020-03-09","2026-01-21","outside","1","barn2"
"474","20174","sheep","199.6","healthy","2024-02-11","2024-08-14","born_in_farm","1","chicken_coop2"
"475","20175","sheep","379.1","healthy","2020-02-04","2025-09-28","outside","0","barn1"
"476","20176","sheep","423.9","healthy","2023-03-25","2024-09-19","outside","0","barn1"
"477","20177","cow","160.1","healthy","2020-04-28","2024-06-11","outside","0","barn3"
"478","20178","cow","327.2","healthy","2021-06-05","2024-08-10","born_in_farm","0","barn3"
"479","20179","sheep","380.3","healthy","2022-10-12","2025-09-01","outside","1","chicken_coop1"
"480","20180","goat","216.2","healthy","2025-01-10","2024-01-19","outside","1","barn3"
"481","20181","sheep","331.1","healthy","2019-10-15","2024-02-22","born_in_farm","1","chicken_coop1"
"482","20182","sheep","257.4","healthy","2024-03-20","2026-01-07","outside","1","barn3"
"483","20183","cow","340.5","healthy","2024-03-28","2025-01-11","outside","1","chicken_coop2"
"484","20184","goat","371.7","healthy","2018-05-29","2024-12-15","born_in_farm","1","barn1"
"485","20185","sheep","308.1","healthy","2022-05-04","2026-01-15","outside","1","barn3"
"486","20186","goat","328.8","healthy","2021-01-26","2023-12-05","born_in_farm","1","chicken_coop1"
"487","20187","sheep","438.4","healthy","2023-09-15","2025-12-20","outside","0","barn1"
"488","20188","cow","433.5","healthy","2020-11-03","2025-08-14","born_in_farm","1","chicken_coop1"
"489","20189","cow","319","healthy","2025-02-08","2023-08-02","outside","1","barn2"
"490","20190","sheep","269.2","healthy","2023-09-05","2025-03-06","born_in_farm","1","barn2"
"491","20191","cow","84.5","healthy","2021-09-09","2025-08-17","born_in_farm","1","barn3"
"492","20192","cow","203.8","healthy","2022-11-08","2024-12-04","born_in_farm","1","barn1"
"493","20193","sheep","378.8","healthy","2019-04-05","2024-01-26","born_in_farm","1","barn2"
"494","20194","goat","439.4","healthy","2024-04-03","2024-05-09","outside","1","barn3"
"495","20195","cow","392.1","healthy","2021-05-27","2025-11-22","outside","1","chicken_coop1"
"496","20196","sheep","194.4","healthy","2018-05-25","2024-01-12","outside","0","barn2"
"497","20197","sheep","148","healthy","2021-03-20","2025-12-24","outside","1","chicken_coop1"
"498","20198","goat","342","healthy","2023-01-18","2025-06-01","born_in_farm","0","barn1"
"499","20199","sheep","383.8","healthy","2024-04-01","2025-12-10","outside","1","barn2"
"500","20200","goat","236","healthy","2020-07-31","2023-10-13","born_in_farm","1","chicken_coop2"
"501","20201","goat","143.5","healthy","2019-06-29","2025-03-06","born_in_farm","1","chicken_coop2"
"502","20202","goat","402.3","healthy","2023-07-13","2024-11-17","outside","1","barn2"
"503","20203","sheep","179.6","healthy","2019-09-28","2023-09-05","born_in_farm","1","barn3"
"504","20204","cow","244","healthy","2024-05-11","2026-01-09","outside","0","barn3"
"505","20205","cow","366","healthy","2019-11-05","2024-12-21","outside","1","barn3"
"506","20206","goat","227","healthy","2022-03-24","2024-02-25","born_in_farm","1","chicken_coop2"
"507","20207","cow","106.1","healthy","2019-10-10","2024-12-20","outside","1","chicken_coop2"
"508","20208","sheep","349.2","healthy","2022-05-17","2024-03-20","born_in_farm","1","barn1"
"509","20209","sheep","337.1","healthy","2022-03-05","2023-07-27","born_in_farm","0","chicken_coop1"
"510","20210","cow","176.2","healthy","2022-07-27","2023-10-17","born_in_farm","0","chicken_coop1"
"511","20211","cow","373.4","healthy","2024-05-22","2026-01-01","outside","1","chicken_coop1"
"512","20212","sheep","163.5","healthy","2020-08-28","2025-03-08","outside","1","barn1"
"513","20213","sheep","139.3","healthy","2019-03-29","2024-08-01","born_in_farm","1","barn1"
"514","20214","goat","418.5","healthy","2024-02-14","2023-08-28","born_in_farm","1","barn3"
"515","20215","cow","66.5","healthy","2024-10-31","2026-01-23","born_in_farm","1","chicken_coop1"
"516","20216","goat","193.2","healthy","2024-05-11","2024-12-24","outside","1","chicken_coop1"
"517","20217","goat","149.6","healthy","2020-09-02","2024-12-04","born_in_farm","1","barn1"
"518","20218","sheep","76.6","healthy","2024-09-09","2025-12-27","born_in_farm","0","barn1"
"519","20219","sheep","323.5","healthy","2021-11-26","2025-06-26","outside","0","chicken_coop1"
"520","20220","sheep","418.8","healthy","2024-12-09","2025-04-20","born_in_farm","1","barn2"
"521","20221","cow","294","healthy","2022-09-25","2023-10-20","born_in_farm","1","barn1"
"522","20222","sheep","146.4","healthy","2018-08-30","2023-07-31","outside","1","barn3"
"523","20223","cow","232","healthy","2019-04-19","2023-11-13","outside","1","barn3"
"524","20224","sheep","304.2","healthy","2019-03-26","2025-03-20","born_in_farm","1","barn1"
"525","20225","cow","243.6","healthy","2025-01-25","2024-09-11","outside","1","barn3"
"526","20226","cow","371.3","healthy","2018-07-25","2025-04-05","outside","1","barn2"
"527","20227","goat","156.9","healthy","2021-08-01","2024-02-28","born_in_farm","0","barn3"
"528","20228","cow","411.2","healthy","2022-07-07","2025-10-07","outside","0","chicken_coop1"
"529","20229","sheep","62.8","healthy","2022-03-08","2023-06-06","outside","1","chicken_coop1"
"530","20230","cow","111.4","healthy","2023-07-07","2024-05-07","outside","1","barn3"
"531","20231","cow","303.6","healthy","2021-11-01","2024-12-09","outside","1","chicken_coop2"
"532","20232","cow","246.6","healthy","2021-06-29","2025-10-26","outside","1","barn1"
"533","20233","cow","268.9","healthy","2019-03-07","2024-05-23","outside","0","barn2"
"534","20234","cow","296","healthy","2022-09-27","2023-11-06","born_in_farm","0","barn3"
"535","20235","sheep","269.5","healthy","2023-11-14","2025-07-26","born_in_farm","1","chicken_coop1"
"536","20236","goat","263.5","healthy","2024-12-14","2024-11-16","born_in_farm","1","barn1"
"537","20237","sheep","254.6","healthy","2021-08-19","2023-07-12","born_in_farm","1","chicken_coop2"
"538","20238","sheep","230.1","healthy","2022-04-07","2024-04-14","born_in_farm","1","chicken_coop1"
"539","20239","sheep","259.7","healthy","2023-09-10","2025-01-04","born_in_farm","1","barn2"
"540","20240","sheep","103.8","healthy","2024-12-21","2024-05-15","born_in_farm","1","chicken_coop2"
"541","20241","sheep","173","healthy","2018-07-09","2023-11-02","born_in_farm","0","barn1"
"542","20242","sheep","172","healthy","2024-10-10","2025-05-18","born_in_farm","1","chicken_coop2"
"543","20243","goat","275.6","healthy","2023-08-23","2025-03-28","outside","1","chicken_coop2"
"544","20244","sheep","49.9","healthy","2021-09-15","2024-12-11","outside","0","barn2"
"545","20245","sheep","392.2","healthy","2020-12-13","2024-12-27","born_in_farm","0","chicken_coop1"
"546","20246","goat","387.9","healthy","2021-12-28","2024-03-31","born_in_farm","1","barn3"
"547","20247","cow","166.9","healthy","2023-07-22","2025-07-27","born_in_farm","0","barn3"
"548","20248","sheep","380.1","healthy","2020-05-13","2023-07-28","outside","0","barn2"
"549","20249","sheep","320.3","healthy","2024-07-10","2025-03-08","born_in_farm","1","barn2"
"550","20250","goat","165","healthy","2021-06-02","2023-12-31","born_in_farm","0","barn3"
"551","20251","cow","385.4","healthy","2021-09-04","2023-07-24","born_in_farm","0","barn1"
"552","20252","sheep","256","healthy","2021-12-22","2024-03-29","born_in_farm","1","barn3"
"553","20253","cow","397.6","healthy","2022-05-04","2025-02-20","outside","1","chicken_coop1"
"554","20254","cow","281.3","healthy","2022-03-16","2025-03-21","born_in_farm","1","chicken_coop1"
"555","20255","sheep","174.8","healthy","2023-05-15","2025-05-11","outside","1","barn1"
"556","20256","cow","85.9","healthy","2020-04-03","2025-07-10","outside","0","barn3"
"557","20257","cow","58.1","healthy","2022-02-09","2025-12-02","born_in_farm","0","barn3"
"558","20258","goat","193.2","healthy","2024-12-22","2023-06-22","outside","0","barn1"
"559","20259","goat","413.1","healthy","2023-02-26","2024-05-09","born_in_farm","0","chicken_coop2"
"560","20260","goat","242.8","healthy","2021-08-08","2025-12-18","outside","1","barn1"
"561","20261","sheep","319.5","healthy","2022-12-28","2024-11-01","born_in_farm","1","barn3"
"562","20262","sheep","359.1","healthy","2021-10-17","2025-12-30","outside","1","chicken_coop1"
"563","20263","sheep","211","healthy","2024-06-25","2025-08-05","outside","1","chicken_coop1"
"564","20264","sheep","430","healthy","2025-01-03","2025-09-01","outside","1","barn1"
"565","20265","sheep","240.3","healthy","2023-06-20","2024-03-01","outside","0","barn3"
"566","20266","sheep","257.2","healthy","2018-05-12","2025-04-02","outside","0","barn3"
"567","20267","goat","390.1","healthy","2022-11-29","2026-02-16","born_in_farm","0","chicken_coop2"
"568","20268","cow","247.1","healthy","2020-06-22","2023-10-18","born_in_farm","1","barn3"
"569","20269","cow","292.8","healthy","2020-09-27","2025-04-07","outside","1","barn1"
"570","20270","goat","56.2","healthy","2019-11-19","2024-03-02","born_in_farm","1","chicken_coop1"
"571","20271","goat","157.2","healthy","2020-07-25","2024-11-13","born_in_farm","0","barn1"
"572","20272","sheep","437.4","healthy","2024-07-14","2024-11-14","born_in_farm","1","barn2"
"573","20273","goat","439.3","healthy","2020-07-22","2025-03-02","outside","1","chicken_coop1"
"574","20274","goat","370.5","healthy","2018-11-04","2025-10-19","outside","1","barn1"
"575","20275","goat","218.7","healthy","2018-08-10","2024-12-12","born_in_farm","0","barn2"
"576","20276","cow","214.8","healthy","2019-06-07","2023-10-14","outside","1","chicken_coop1"
"577","20277","sheep","173.4","healthy","2024-07-19","2024-12-13","outside","0","barn3"
"578","20278","cow","92.9","healthy","2024-06-04","2025-10-15","born_in_farm","0","barn2"
"579","20279","goat","89.6","healthy","2023-12-28","2024-11-07","outside","1","chicken_coop1"
"580","20280","sheep","193.9","healthy","2018-08-17","2024-06-24","born_in_farm","0","chicken_coop2"
"581","20281","cow","153.5","healthy","2019-05-11","2025-02-11","born_in_farm","1","chicken_coop2"
"582","20282","sheep","77.4","healthy","2019-02-10","2025-10-19","outside","1","chicken_coop1"
"583","20283","cow","130.9","healthy","2023-12-27","2025-09-10","born_in_farm","0","barn3"
"584","20284","goat","122.5","healthy","2022-10-05","2025-10-23","outside","1","barn3"
"585","20285","sheep","76.1","healthy","2022-02-26","2023-08-24","born_in_farm","1","chicken_coop2"
"586","20286","sheep","253.1","healthy","2019-05-03","2024-05-18","outside","1","barn2"
"587","20287","goat","438.5","healthy","2019-09-11","2023-06-05","outside","1","chicken_coop1"
"588","20288","goat","354.8","healthy","2018-09-15","2025-03-15","outside","1","barn3"
"589","20289","cow","331.3","healthy","2019-02-18","2025-07-30","born_in_farm","1","chicken_coop1"
"590","20290","cow","101.6","healthy","2024-08-29","2023-09-14","born_in_farm","1","chicken_coop2"
"591","20291","cow","266.5","healthy","2018-11-18","2023-09-30","outside","1","chicken_coop1"
"592","20292","cow","95.6","healthy","2019-08-17","2024-06-17","outside","1","barn1"
"593","20293","sheep","301","healthy","2024-12-04","2025-08-03","outside","1","barn1"
"594","20294","sheep","286","healthy","2022-11-18","2023-12-06","born_in_farm","1","chicken_coop2"
"595","20295","sheep","46","healthy","2018-11-12","2024-08-30","outside","0","chicken_coop2"
"596","20296","goat","220","healthy","2019-03-30","2023-07-07","born_in_farm","0","barn2"
"597","20297","cow","290.3","healthy","2020-02-21","2024-01-05","outside","0","chicken_coop1"
"598","20298","goat","245.9","healthy","2019-04-22","2024-03-02","born_in_farm","0","barn2"
"599","20299","goat","415.1","healthy","2018-11-26","2024-02-07","outside","1","chicken_coop1"
"600","20300","cow","81.8","healthy","2019-07-05","2023-12-11","outside","1","chicken_coop2"
